Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Alameda,Non-Profit,0.0,0.0,0.0,0.0
2009,San Joaquin,Non-Profit,0.0,0.0,0.0,0.0
2009,Riverside,Non-Profit,0.0,0.0,0.0,0.0
2009,Alameda,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,San Mateo,Non-Profit,0.0,0.0,0.0,0.0
2009,Riverside,Non-Profit,0.0,0.0,0.0,0.0
2009,Sacramento,Non-Profit,0.0,0.0,0.0,0.0
2009,San Diego,Non-Profit,0.0,0.0,0.0,0.0
2009,Santa Clara,Non-Profit,0.0,0.0,0.0,0.0
2009,Marin,Non-Profit,0.0,0.0,0.0,0.0
2009,Santa Clara,Non-Profit,0.0,0.0,0.0,0.0
2009,Sonoma,Non-Profit,0.0,0.0,0.0,0.0
2009,Sacramento,Non-Profit,0.0,0.0,0.0,0.0
2009,San Mateo,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Solano,Non-Profit,0.0,0.0,0.0,0.0
2009,Contra Costa,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Solano,Non-Profit,0.0,0.0,0.0,0.0
2009,Tulare,District,1306189189.0,1298638337.0,7550852.0,1.08
2009,Los Angeles,Non-Profit,27252496.0,27116833.0,135663.0,0.5
2009,Marin,Investor,51971254.0,45403020.0,6568234.0,15.03
2009,Kern,City/County,663812418.0,653736553.0,10075865.0,-18.59
2009,Kern,District,69740838.0,69906303.0,-165465.0,-3.4
2009,Orange,Investor,84982195.0,85140583.0,-158388.0,-0.59
2009,Los Angeles,Investor,331829690.0,308379173.0,23450517.0,22.96
2009,Los Angeles,Investor,163077038.0,154036133.0,9040905.0,19.26
2009,San Bernardino,Investor,165789941.0,160556829.0,5233112.0,10.16
2009,Sacramento,Investor,49145646.0,46014891.0,3130755.0,15.36
2009,San Diego,Investor,70138640.0,71401458.0,-1262818.0,-5.08
2009,Alameda,Investor,120483367.0,113730675.0,6752692.0,15.82
2009,Orange,Investor,244538367.0,231989521.0,12548846.0,18.4
2009,Fresno,District,7153912.0,7409178.0,-255266.0,-27.81
2009,Los Angeles,Investor,2493061.0,2486612.0,6449.0,0.26
2009,Orange,Investor,157438187.0,154468635.0,2969552.0,7.35
2009,Los Angeles,City/County,1563230684.0,1585536021.0,-22305337.0,-49.5
2009,Los Angeles,City/County,908550121.0,941856439.0,-33306318.0,-83.61
2009,Los Angeles,City/County,447294113.0,457134447.0,-9840334.0,-36.52
2009,Los Angeles,City/County,2392642618.0,2494541731.0,-101899113.0,-66.48
2009,San Francisco,City/County,279273048.0,277322493.0,1950555.0,-68.98
2009,Los Angeles,Investor,761495933.0,760316651.0,1179282.0,2.21
2009,Los Angeles,Investor,451280486.0,458477663.0,-7197177.0,-9.48
2009,San Francisco,Non-Profit,25042188.0,25753586.0,-711398.0,-7.76
2009,Los Angeles,State,140145688.0,140145688.0,0.0,-4.62
2009,San Joaquin,Non-Profit,910233857.0,906309288.0,3924569.0,6.0
2009,San Bernardino,Non-Profit,56032227.0,55980247.0,51980.0,-4.08
2009,San Bernardino,Non-Profit,3673041965.0,3606388474.0,66653491.0,5.24
2009,Santa Barbara,District,84779195.0,80490092.0,4289103.0,-4.94
2009,Los Angeles,Non-Profit,1819458344.0,1765767553.0,53690791.0,10.35
2009,Orange,Investor,980280990.0,953739646.0,26541344.0,16.56
2009,Los Angeles,Investor,385635626.0,362221661.0,23413965.0,27.59
2009,Los Angeles,Investor,254202059.0,261013006.0,-6810947.0,-14.06
2009,Ventura,Investor,1098055680.0,1073433883.0,24621797.0,13.94
2009,Santa Clara,Non-Profit,2152719540.0,2191493684.0,-38774144.0,7.03
2009,Humboldt,Investor,127912350.0,132032358.0,-4120008.0,-10.78
2009,Madera,Non-Profit,206524276.0,204903085.0,1621191.0,1.51
2009,Mono,District,79521834.0,78995454.0,526380.0,-6.6
2009,Santa Barbara,Non-Profit,793552220.0,781336895.0,12215325.0,2.42
2009,Merced,City/County,3584475.0,3584475.0,0.0,0.0
2009,Marin,Non-Profit,1070830717.0,1050084385.0,20746332.0,8.84
2009,Los Angeles,Investor,443303994.0,442247529.0,1056465.0,1.32
2009,Calaveras,Non-Profit,113761254.0,112710824.0,1050430.0,5.31
2009,El Dorado,Non-Profit,659528386.0,652487504.0,7040882.0,4.85
2009,Shasta,District,39293905.0,39401823.0,-107918.0,-4.03
2009,Merced,Non-Profit,157720807.0,150977762.0,6743045.0,13.61
2009,Stanislaus,Non-Profit,2330634393.0,2250173758.0,80460635.0,14.71
2009,Los Angeles,Investor,409309283.0,393737531.0,15571752.0,3.3
2009,Mendocino,District,90239184.0,89381882.0,857302.0,-0.73
2009,Riverside,District,196983375.0,200179210.0,-3195835.0,-7.29
2009,San Mateo,Non-Profit,37169772.0,32816475.0,4353297.0,25.93
2009,Sacramento,Non-Profit,1950102797.0,1940613343.0,9489454.0,5.16
2009,Kern,Non-Profit,946697220.0,915607507.0,31089713.0,13.76
2009,Sacramento,Non-Profit,379616644.0,367742696.0,11873948.0,15.0
2009,Siskiyou,Non-Profit,91520554.0,90084009.0,1436545.0,2.01
2009,Shasta,Non-Profit,1086739779.0,1078268954.0,8470825.0,5.64
2009,Merced,Non-Profit,677159191.0,667790971.0,9368220.0,8.14
2009,Sacramento,Non-Profit,1637693397.0,1634171210.0,3522187.0,4.02
2009,Alameda,Non-Profit,7622080.0,10378441.0,-2756361.0,-178.12
2009,Sacramento,Non-Profit,681651322.0,685062242.0,-3410920.0,-1.74
2009,Los Angeles,Non-Profit,845641088.0,842423949.0,3217139.0,2.24
2009,Los Angeles,State,296182510.0,296182510.0,0.0,-343.34
2009,Los Angeles,Investor,59936767.0,57285297.0,2651470.0,15.04
2009,Los Angeles,Non-Profit,173998475.0,173424490.0,573985.0,1.0
2009,Orange,Non-Profit,1255088944.0,1242776521.0,12312423.0,9.48
2009,Modoc,City/County,22384128.0,24327126.0,-1942998.0,-22.33
2009,Los Angeles,Investor,35742876.0,34440142.0,1302734.0,10.83
2009,San Bernardino,Investor,178171587.0,177543070.0,628517.0,4.1
2009,Los Angeles,Investor,362820712.0,359170839.0,3649873.0,5.12
2009,Los Angeles,Non-Profit,127078660.0,134795267.0,-7716607.0,-39.57
